Filename,Region1,Region2,Region3,Region4
Y247.JPG,87,79,94,101
Y252.jpg,107,96,115,123
Y259.JPG,76,117,83,65
Y254.jpg,48,49,40,33
Y58.JPG,73,94,91,101
Y160.JPG,81,71,82,88
Y78.jpg,97,103,116,108
Y95.jpg,52,53,72,72
Y26.jpg,89,65,36,38
Y251.JPG,122,111,110,100
Y103.jpg,75,61,74,35
Y163.JPG,84,61,82,83
Y20.jpg,108,101,92,143
Y16.JPG,107,82,92,173
Y25.jpg,64,77,24,32
Y56.jpg,87,107,93,134
Y169.jpg,86,121,63,79
Y44.JPG,44,83,72,53
Y181.jpg,113,83,102,94
Y111.JPG,96,100,94,106
Y42.jpg,59,49,60,38
Y12.jpg,133,130,110,84
Y168.jpg,58,48,62,62
Y21.jpg,94,96,92,132
Y59.JPG,84,69,115,106
Y102.jpg,78,79,70,105
Y53.jpg,60,57,59,76
Y158.JPG,94,53,74,85
Y185.jpg,112,71,141,111
Y193.JPG,122,92,98,94
Y3.jpg,94,98,81,104
Y92.jpg,66,57,27,41
Y97.JPG,77,64,102,84
Y89.JPG,45,60,49,40
Y67.JPG,92,105,101,83
Y157.JPG,61,47,52,76
Y50.JPG,86,66,72,81
Y244.JPG,94,79,90,79
Y37.jpg,68,95,71,88
Y161.JPG,100,94,98,101
Y76.jpg,67,77,29,31
Y18.JPG,59,64,81,85
Y33.jpg,65,35,93,43
Y255.JPG,65,65,65,39
Y104.jpg,42,79,120,107
Y7.jpg,116,95,78,71
Y41.jpg,40,70,23,37
Y79.jpg,78,83,44,46
Y19.JPG,85,57,67,88
Y74.jpg,84,135,27,50
Y65.JPG,50,73,78,83
Y6.jpg,30,28,36,32
Y86.JPG,92,84,69,68
Y85.JPG,67,37,47,38
Y182.JPG,31,55,74,36
Y38.jpg,80,80,57,50
Y147.JPG,157,144,159,175
Y96.jpg,41,47,49,68
Y90.jpg,69,78,70,80
Y243.JPG,68,54,48,48
Y187.jpg,106,100,77,111
Y107.jpg,65,35,93,43
Y184.JPG,83,65,81,76
Y248.JPG,80,85,93,140
Y242.JPG,111,100,78,72
Y115.JPG,88,42,110,82
Y62.jpg,16,27,21,20
Y10.jpg,68,95,71,88
Y170.JPG,74,84,65,73
Y156.JPG,85,114,102,96
Y246.JPG,84,48,57,61
Y46.jpg,62,61,84,96
Y27.jpg,48,18,19,13
Y49.JPG,96,53,86,69
Y186.jpg,58,133,57,151
Y162.jpg,86,75,53,66
Y108.jpg,86,75,53,66
Y120.JPG,65,68,55,82
Y146.JPG,88,72,54,44
Y194.jpg,45,58,34,41
Y114.JPG,45,31,59,44
Y31.jpg,16,27,21,20
Y11.jpg,59,86,77,65
Y70.jpg,80,80,57,50
Y195.JPG,97,78,44,52
Y8.jpg,53,65,65,67
Y34.jpg,113,83,102,94
Y14.jpg,106,76,71,77
Y24.jpg,54,56,45,47
Y32.jpg,66,58,72,71
Y40.JPG,55,95,98,101
Y17.jpg,106,76,71,77
Y258.JPG,98,137,56,83
Y109.JPG,130,85,110,107
Y39.jpg,107,95,45,77
Y61.jpg,95,108,87,98
Y249.JPG,75,67,76,65
Y81.jpg,84,85,74,40
Y192.JPG,108,117,157,136
Y116.JPG,86,91,143,72
Y82.jpg,71,77,62,71
Y100.JPG,61,46,73,86
Y98.JPG,61,73,71,84
Y180.jpg,76,113,85,70
Y30.jpg,80,80,57,50
Y22.jpg,99,103,108,78
Y167.JPG,107,95,76,65
Y153.jpg,84,45,118,115
Y91.jpg,91,80,71,99
Y112.JPG,87,79,52,44
Y15.jpg,113,83,102,94
Y106.jpg,119,116,61,44
Y188.jpg,59,34,62,53
Y1.jpg,93,102,84,72
Y23.JPG,73,66,47,78
Y28.jpg,80,76,73,81
Y4.jpg,86,98,79,79
Y257.jpg,84,86,109,98
Y69.jpg,64,77,24,32
Y166.JPG,74,74,86,78
Y105.jpg,79,41,105,95
Y35.jpg,53,65,62,74
Y148.JPG,97,93,87,99
Y55.jpg,84,135,27,50
Y45.JPG,69,67,62,66
Y183.jpg,81,54,84,84
Y165.JPG,52,59,44,62
Y29.jpg,43,54,29,52
Y159.JPG,58,62,66,61
Y92.png,106,102,91,140
Y99.JPG,68,82,73,75
Y253.JPG,78,55,59,45
Y54.jpg,80,80,57,50
Y36.JPG,49,73,80,83
Y9.jpg,60,54,62,50
Y75.JPG,67,87,92,89
Y113.JPG,76,70,108,107
Y73.jpg,110,108,103,97
Y47.JPG,52,104,69,50
Y256.JPG,93,109,77,89
Y155.JPG,136,144,43,52
Y51.jpg,36,56,65,89
Y250.jpg,129,117,88,74
Y52.jpg,29,27,33,31
Y77.jpg,48,93,33,49
Y2.jpg,88,94,71,70
Y66.JPG,77,57,71,89
Y60.jpg,85,127,98,101
Y245.jpg,87,87,86,65
Y71.JPG,94,98,71,89
Y164.JPG,37,31,22,25
Y13.jpg,86,121,63,79
Y154.jpg,78,83,44,46
Y117.JPG,97,62,89,92
Y101.jpg,58,43,26,28
